text,label
Hello ! What are you reading about in the newspaper ? ,joy
 You are such an expert on it . I don't know that . ,joy
After the term exams I happened to meet a person that I respect and of whom I think very highly. It was nice that although we see each other rarely he had not forgotten me.,joy
His two thumbs rotated about one another as they always did when he was agitated and looking for a way to strike . ,fear
 Very much.What time ? ,joy
"Much pressure can overtly or unwittingly be put on grown up children , to provide grandchildren for the delight of the grandparents . ",joy
 I'm sorry . I think we're out of this skirt in this color . Do you want me to call another one of our store to see if it's available there ? ,sadness
My joy was the joy of meeting again.  My husband came home after having been away for weeks (for work).  I was on the railway station to meet him.,joy
You told me psychology can help people to be happier.,joy
At an unjust insult or injure.,sadness
 I'm in such a need of the job that I can't afford any mistakes . ,fear
When I passed my final examination at school.,joy
 it can't be that bad . ,neutral
You ignored the fact that we could not hear you at the back.,sadness
" Sure , which beach are we going to ? ",joy
 What do you mean by saying so ? ,neutral
When a certain boy went about saying that I am his girlfriend. I wrote him an insulting letter to him and called him names.,anger
"This sounds really predictable and usual but it was absolutely heart-rending at the time. My first lover (I was 15) just rang up one day and announced that he had found another woman. I never saw him again and it hurt because I was positive that it was \TRUE LOVE\"" !!""",sadness
 And why are you yarning now ? Are you bored ? ,anger
 Just okay . ,neutral
"The mood was despairing , despondent , and war-weary -- apathetic rather than rebellious . ",sadness
" Yeah , I heard it's going to be a lot of fun . ",joy
" Oh , no ! ",anger
"Who can honestly say that they have never been consumed by that intense annoyance , never felt that burning but wrenching tension and anger at life 's petty frustrations . ",anger
"The first week I was at the school , I attempted to climb a tree , and was reproved by a horrified prefect . ",fear
Death of my father.,sadness
 Don't worry.He is an acrobat 。 ,neutral
" Sorry , Becky can ’ t come to the phone right now . ",sadness
" Oh , I'm afraid I'll be busy tomorrow evening . ",sadness
" Well , I am under a lot of pressure . My boss is very pushy . He assigned me three projects . Now the deadlines are near , and I still have not finished all of my projects . ",sadness
 Sure . ,neutral
When someone in my family died.,sadness
 Isn't it awful ? I can't bear to look at it . I don't think I can stand this place for two weeks . ,anger
 Thanks . Now let's decide which one of these suits looks best for this occasion . ,joy
" I am sorry , sir . We are booked until 9:10 . ",sadness
Their findings indicate measurable differences between normal and depressed women . ,sadness
"I'm very worried , doctor . I'm afraid that I'm very ill . ",sadness
 I hope so . ,neutral
My husband and I were invited at the house of our neighbors then we got an invitation on the part of my parents which we had to refuse. A a result they called me by words that provoked my anger.,anger
"Far from experiencing simple gratitude , such children will most likely feel terribly torn and anxious when faced with their foster parents ' offer of affection . ",fear
 Certainly . ,neutral
When my little sister was born.,joy
"i mean for you to hate it,not me.i love it,but there are a few people in for a rude awakening. is it in you?lmao!!!!!",fear
"Happy anniversary , sweetheart ! ",joy
"Diana took the criticism to heart , avidly read what was being said about her and became depressed and despondent . ",sadness
Doctor McCann turned an exasperated face away and addressed himself to Peg . ,anger
A dark night when I had to go to the outdoor lavatory.,fear
 See you then . ,joy
Sven Hjerson 's lugubrious face lit up in a brief smile . ,sadness
Saying goodbye to a friend.,sadness
 Dammit ! I asked for sunny side up ! How many times do I have to tell you . ,anger
"My friend and I had offended our classmate unintentionally.  We wanted to apologize to her so we decided to visit her.  We knew that she was stubborn so we were frightened.  When we rang her door bell, our fear was at it's climax",fear
 Laptop . ,neutral
There are periods when we feel totally inconsolable . ,sadness
"Ann , it's terrible ! ",anger
A large german shepherd dog ran and barked at me (he didn't bite fortunately).,fear
"Two years ago, somebody I like very much wanted to give up his studies. I tried to make him understand the importance of what he was going to do, not only of the difficulty to find a job but also because he will decrease his culture etc. This person made the test to the college entrance examination and to our great joy we found out that he succeded in entering at the University.",joy
 You can't be serious . How dare you not tell me you are going to marry her ? ,anger
 OK . ,neutral
Being told that I have not got a personality.,anger
 I have been working on it for a whole month and it's too late to write another . Just think of all my hard work that goes for nothing . How could I do such a thing ? ,sadness
" Yeah , you are right . I must stop complaining and stick to it every day . ",joy
 Right . ,joy
Talking with someone I admire a lot.,joy
 I need to use the Internet . ,neutral
The emotion came when a certain boy opened my locker without my knowledge.,anger
I was very joyful when I heard that I had passed the standard 8 exams. The day I heard the news was the day I celebrated my birthday.,joy
My friend took me to Civo Stadium to watch and listen to the music of the International singer Sam Mangwana. I had no hope of going there since I had no money so he gave me the money for admission.,joy
"Hearing that I had been successful in getting a position whereby my financial, physical, spiritual and emotional needs will be well catered for. This position fulfils a lot of my aims for the last five years of my life.",joy
Do you think they two will get married ? ,neutral
 Please . ,neutral
Watching a horror movie with friends.,fear
His face darkened with anger . ,anger
@bechouston thanks 4 having me. Great seeing u. Hope u home safe. BED  hanging here  ,fear
"I caught a \peeping tom\"" at my window when I was getting undressed.""",anger
When a class-mate died.,sadness
 Just get out of my face ! ,anger
"I was on a class excursion, by boat to Stockholm.  At night my class mates prepared to celebrate their motive in life which was \life is merriment\"".  I felt depressed about the way they sought happiness.""",sadness
 I can't believe this for it's been 20 years since we got married . ,joy
 His face broke out and he said it was my fault ! ,anger
Made a wonderful driend who understands me.,joy
 You only say that because you don't have to work with him.The people in your department seem so capable and nice to be around.Take Mary for example.She ' s smart and enthusiastic . I've never met anyone as cheery as she is . ,anger
 You can't do that ! You can't charge me for a mistake that you made ! ,anger
"While tramping on a narrow path two of us were confronted by a woman with two snarling dogs, demanding we get off the property - via a flooded river !",fear
Made mistakes in exam.,anger
There was a trace of exasperation in his voice as he said : ` I 've told my promoter Dan Duva that I want to fight all those contenders that the people want me to fight . ,anger
 I couldn ’ t agree more . That ’ s an ideal place for a vacation . ,joy
 Good idea . ,neutral
"While playing indoor-hockey, there always is an older man who frequently and intentionally plays the ball out of the field. In my opinion this is very childish, because we play for fun only.",anger
"She grinned , delighted at this mind-reading . ",joy
When I dreamt that my family was in trouble and was facing many difficulties.,fear
"My mother kicked my surrogate father out and he in turn did not care for the dog, Afthur, he bought for the family. His lack of concern lead tho Arthur's death on the freeway. I loved Arthur like a brother. He was easy to talk to.",sadness
 Why not ? ,neutral
"I made the college entrance examinations for P.U.C. It was what I wanted more. When the first list came out I got frustrated. I wasn't in. When the second list came out without hopes I started to read the newspaper and my name was thre. I was in the bus and felt like crying so that everybody could hear me. The cry was hold, and 1982 became forever a mask in my life.",joy
"One night, while I was sleeping, I woke up suddenly with the sensation that there was someone in my room.",fear
"And while she sounded sympathetic , she was in reality infuriated with Doreen . ",anger
 812 . ,neutral
He was at the graveside looking mournful and interesting . ,sadness
Emotional  is less tangible and far more powerful than physical risk. #innovate #creativity #DFMA,fear
I was given a gift by my sister. There were many pleasant things in this parcel.,joy
When I was punished in school for no serious mistake of mine.,anger
Standing in a crowed shop or in a closed room with too much people in it. This gives me a fearful experience.,fear
"Behind her she heard Emilia say , ` I think the child will be quite desolate to see me go . ",sadness
When I was accused of having planned my friend's outing at secondary school (boarding) as we were not allowed to go out.,anger
" Don ’ t criticize Mario or else I ’ ll start on those fat , drunk friends of yours ; they ’ re no saints . ",anger
 Pretty good . There was a bit of turbulence while we were over the Pacific Ocean but it wasn't too bad . The worst thing was the guy behind me . He snored all through the night ! ,joy
"He had thus been forced to hide his ignorance , which ill became a bohemian poet , when the trial burst upon a horrified society . ",fear
 Poor child ! ,neutral
Minute shards of glass slashed across Rohmer 's ecstatic face . ,joy
 Is that so ? ,neutral
" Oh , I see . ",neutral
"Then we killed her , and I felt frightened of her . ",fear
"The day that there was a black-out in the city, and I was in an exposition, I felt fear that something more serious was happening, like a revolution for example.",fear
Last Summer I was walking along the beach in a bikini and an awful man came cycling after me.  He was shouting and I ran as fast as my legs could carry me.,fear
 I'm not at all convinced . Tomorrow is Saturday ! ,anger
Oh man ! I ’ Ve been starving myself for days now and I haven ’ t lost an ounce ! ,anger
Due to some reasons my boyfriend and I decided to separate.,sadness
 No problem . ,neutral
He felt increasingly irritated and despondent . ,sadness
 Let's say about 6:00 ? ,joy
When my daughter was born.,joy
The inability to read a book at college.,sadness
"After being away on a holiday for 2 months, a friend, who lived interstate, had remembered when I'd get back and phoned to welcome me home on the night of my arrival.",joy
He felt suddenly happy at being alive . ,joy
"of the Unknown #changes, replace #stability and #familiarity with ambiguity and# uncertainty. #JO #Amman #ReformJO #Jordan",fear
There is a clear lesson there for a beleagured John Major and a rattled Tory government . ,fear
 Am I failing ? ,neutral
"When I pass exams, or when a close friend of mine recovered from an illness,etc.",joy
 How about football ? ,neutral
" All you ever do is have unhealthy fast food Pizza , fries , burgers and hot dogs ! You have to start eating better ! ",anger
"I and my cousin went to a film show at night. We went without making it known to my mother. While we were there at interval, I came across my mother just close to where we sat.",fear
"` You look glum today , "" Bragg said good-humouredly . ",sadness
We had to finish the life of our 8 year-old dog.,sadness
"My father used to get so angry at her stubbornness -- not at all like me , used to doing what I was told . "" ",anger
" Exactly . We play every Saturdays on the field by the tennis courts . If you want to learn and play a little , you're welcome to join us . ",joy
We had to take our cat to the vet for mercy killing (an injection).,sadness
